SatName;Magnitude;StartTime;StartAlt;StartAz;HiTime;HiAlt;HiAz;EndTime;EndAlt;EndAz;NORAD;TLE1;TLE2
STARLINK-34982;4.4;17:37:33;10;ENE;17:39:45;15;NNE;17:41:58;10;N;65243;1 65243U 25179J   26027.53888158  .00011297  00000-0  78575-3 0  9992;2 65243  97.6031  72.3570 0001741 156.7897 203.3408 15.05656089 25785
STARLINK-5462;3.8;17:37:54;10;WNW;17:42:07;63;NNE;17:46:21;10;E;55674;1 55674U 23021AY  26027.66967079  .00009310  00000-0  78672-3 0  9998;2 55674  70.0017 267.7395 0005196 283.9718  76.0863 14.98336846163149
STARLINK-32552;3.8;17:38:06;10;WNW;17:42:20;63;NNE;17:46:33;10;E;62174;1 62174U 24225M   26027.66985432  .00014565  00000-0  12274-2 0  9994;2 62174  69.9997 267.7614 0002747 265.4753  94.6092 14.98282505 63739
Cosmos 1733 Rocket;3.2;17:38:24;10;NNW;17:42:42;51;ENE;17:46:56;10;SE;16612;1 16612U 86018B   26027.53147578  .00000850  00000-0  92873-4 0  9992;2 16612  82.5133 221.6830 0016343 194.2358 165.8401 14.86623735 37236
STARLINK-5540;3.6;17:38:33;10;SSE;17:42:32;87;ENE;17:46:32;10;NNW;56340;1 56340U 23058Z   26027.47635063  .00000502  00000-0  38983-4 0  9999;2 56340  97.6057  30.5633 0001809  93.2575 266.8859 15.05649292151995
STARLINK-5819;4.1;17:39:09;10;SW;17:43:18;57;SE;17:47:28;10;ENE;55780;1 55780U 23028AR  26027.14045374  .00001128  00000-0  10235-3 0  9991;2 55780  70.0015 329.0480 0002974 265.1084  94.9736 14.98329856160318
STARLINK-6043;3.9;17:39:28;10;WNW;17:43:43;82;SW;17:47:58;10;SE;56464;1 56464U 23064S   26027.60267969 -.00000006  00000-0  73139-5 0  9997;2 56464  69.9995 247.9679 0002497 271.1317  88.9556 14.98341326149097
STARLINK-36284;2.5;17:39:29;10;WNW;17:42:53;50;N;17:46:17;10;E;67194;1 67194U 25304C   26027.09193053  .00103732  00000-0  23352-2 0  9991;2 67194  69.9972 282.1396 0004104 260.8683  99.2034 15.42776629  7580
STARLINK-35353;4.4;17:39:37;10;ENE;17:41:46;14;NNE;17:43:55;10;N;65669;1 65669U 25211T   26027.54024144  .00015005  00000-0  10417-2 0  9990;2 65669  97.6032  73.5565 0000591  45.5865 314.5410 15.05658645 20858
STARLINK-6035;3.7;17:40:19;10;SSE;17:44:22;87;WSW;17:48:26;10;NNW;56323;1 56323U 23058G   26027.47665077  .00001037  00000-0  85239-4 0  9998;2 56323  97.6040  29.8091 0002961  70.2890 289.8654 15.01264742151584
STARLINK-5815;3.8;17:40:30;10;WSW;17:44:45;76;NNW;17:49:01;10;ENE;55789;1 55789U 23028BA  26027.14023152  .00000413  00000-0  42426-4 0  9994;2 55789  70.0004 309.1709 0003059 270.0835  89.9973 14.98325464160804
STARLINK-34933;4.4;17:41:22;10;ENE;17:43:38;15;NNE;17:45:53;10;N;65253;1 65253U 25179U   26027.54165089  .00015398  00000-0  10688-2 0  9991;2 65253  97.6029  72.3538 0000910  62.7495 297.3825 15.05660651 25623
STARLINK-5070;4.0;17:42:16;10;W;17:46:28;57;N;17:50:40;10;ENE;55654;1 55654U 23021AC  26027.14000021  .00000415  00000-0  42567-4 0  9996;2 55654  70.0014 289.3805 0002962 268.4794  91.6026 14.98338221162568
STARLINK-5976;3.7;17:42:30;10;SSE;17:46:29;88;WSW;17:50:29;10;NNW;56343;1 56343U 23058AC  26027.47912001  .00000638  00000-0  48412-4 0  9990;2 56343  97.6050  30.5618 0002072  89.0228 271.1236 15.05648388151998
STARLINK-36265;2.5;17:42:44;10;WNW;17:46:08;50;N;17:49:32;10;E;67208;1 67208U 25304S   26027.41829293  .00069267  00000-0  15695-2 0  9990;2 67208  70.0035 281.2709 0002617 282.1576  77.9313 15.42742205  7634
Cosmos 2333 Rocket;2.3;17:43:08;10;WNW;17:48:54;71;NNE;17:54:38;10;ESE;24298;1 24298U 96051B   26027.59376099  .00000072  00000-0  65807-4 0  9990;2 24298  70.7573 262.2264 0018344 204.4279 155.5973 14.12404051515848
Cosmos 2219 Rocket;2.3;17:43:18;10;WNW;17:48:54;60;N;17:54:27;10;E;22220;1 22220U 92076B   26027.67195778 -.00000022  00000-0  13080-4 0  9990;2 22220  70.9991 274.7785 0012249 167.7919 222.3938 14.16850371716024
STARLINK-5980;3.8;17:43:19;10;SSE;17:47:22;84;WSW;17:51:26;10;NNW;56326;1 56326U 23058K   26027.47874875  .00000445  00000-0  39217-4 0  9996;2 56326  97.6045  29.8052 0003026  68.0869 292.0676 15.01262492151594
STARLINK-35351;4.4;17:43:27;10;ENE;17:45:39;15;NNE;17:47:52;10;N;65668;1 65668U 25211S   26027.54301052  .00011055  00000-0  76910-3 0  9997;2 65668  97.6035  73.5551 0000641  85.0996 275.0304 15.05654862 20855
STARLINK-5456;3.8;17:44:04;10;WNW;17:48:18;65;NNE;17:52:31;10;E;55667;1 55667U 23021AR  26027.67384059  .00000578  00000-0  56227-4 0  9992;2 55667  69.9958 267.7553 0002774 267.3250  92.7591 14.98331896163147
STARLINK-32587;3.8;17:44:17;10;WNW;17:48:31;65;NNE;17:52:44;10;E;62180;1 62180U 24225T   26026.67260104  .00004439  00000-0  37960-3 0  9992;2 62180  69.9974 270.2098 0002143 270.2580  89.8334 14.98332845 63589
SL-16 R/B;3.0;17:45:06;10;NNE;17:50:54;40;E;17:56:41;10;SSE;27006;1 27006U 01056F   26027.45127002  .00000012  00000-0  65714-4 0  9995;2 27006  99.7604 192.6707 0015261  93.1688 326.6594 13.71089819207544
STARLINK-34958;4.4;17:45:11;10;ENE;17:47:31;15;NNE;17:49:52;10;N;65237;1 65237U 25179C   26027.54441581  .00015678  00000-0  10880-2 0  9992;2 65237  97.6020  72.3492 0000893 310.6596  49.4553 15.05662039 25774
STARLINK-5816;4.0;17:45:17;10;SW;17:49:28;61;SE;17:53:39;10;ENE;55778;1 55778U 23028AP  26027.54519845 -.00000831  00000-0 -61888-4 0  9994;2 55778  70.0058 328.0500 0001895 328.1999  31.9045 14.98327619160375
USA 59 Rocket;3.2;17:45:35;10;WSW;17:46:40;11;SW;17:47:49;10;SSW;20682;1 20682U 90050B   26027.29141253  .00010846  00000-0  71956-3 0  9996;2 20682  63.2923 229.0347 0881394  80.2459 289.6867 13.63949722 84625
