SatName;Magnitude;StartTime;StartAlt;StartAz;HiTime;HiAlt;HiAz;EndTime;EndAlt;EndAz;NORAD;TLE1;TLE2
CZ-2D R/B;2.6;04:59:41;10;NNE;05:04:03;58;NNE;05:04:03;58;NNE;37932;1 37932U 11068C   26027.50609587  .00000314  00000-0  15879-3 0  9998;2 37932  98.8719 341.8019 0035792 305.4188 165.3396 14.22972986736479
Lacrosse 4 Rocket;3.9;05:02:40;15;E;05:02:40;15;E;05:04:10;10;E;26474;1 26474U 00047B   26027.61158989  .00006335  00000-0  39940-3 0  9993;2 26474  67.9889 155.9872 0036767  86.7855 273.7500 15.09201334386714
ADEOS Rocket;2.9;05:06:59;10;NNE;05:13:32;86;N;05:13:32;86;N;24279;1 24279U 96046C   26027.61036880  .00000030  00000-0  82508-4 0  9998;2 24279  98.7427 342.9471 0299193 182.4808 351.1938 13.47464635447634
Cosmos 2219;3.6;05:08:31;59;NNE;05:08:31;59;NNE;05:13:45;10;ENE;22219;1 22219U 92076A   26027.63411769 -.00000208  00000-0 -84445-4 0  9995;2 22219  71.0607 103.8986 0020768 264.0753  95.8002 14.14080207712577
MSX;4.5;05:12:27;10;NNE;05:16:58;45;NNW;05:16:58;45;NNW;23851;1 23851U 96024A   26027.42589094 -.00000182  00000-0 -96555-4 0  9995;2 23851  99.0312 326.6009 0006892 265.4588  94.5788 13.98376060518675
Cosmos 2278 Rocket;3.1;05:15:38;39;SE;05:16:20;40;ESE;05:21:37;10;NE;23088;1 23088U 94023B   26027.64283224 -.00000155  00000-0 -55195-4 0  9999;2 23088  71.0003 157.0893 0004235 322.9406  37.1423 14.15006456640289
ACS3 Solar Sail;2.1;05:16:24;10;NNE;05:21:28;54;NNW;05:21:28;54;NNW;59588;1 59588U 24077B   26027.42922137  .00023532  00000-0  19605-1 0  9999;2 59588  97.2307 337.8136 0048424 212.6904 147.1260 13.87832752 88476
STARLINK-35890;4.4;05:18:59;32;E;05:18:59;32;E;05:21:21;10;E;66835;1 66835U 25280Q   26027.55273259  .00008925  00000-0  75423-3 0  9998;2 66835  70.0006  78.1901 0003475 272.2116  87.8645 14.98360841  9910
CZ-2C R/B;3.4;05:20:24;10;NNE;05:24:41;38;E;05:25:22;36;ESE;36089;1 36089U 09061B   26027.49399411  .00000730  00000-0  18400-3 0  9995;2 36089  98.4406   4.2956 0079138 111.3800 249.5862 14.52273813857661
Cosmos 2297 Rocket;2.4;05:20:41;64;NNE;05:20:45;64;NNE;05:26:25;10;E;23405;1 23405U 94077B   26027.56981136 -.00000171  00000-0 -62682-4 0  9996;2 23405  70.9825  79.0000 0004781 249.1559 110.9052 14.15558539610414
