SatName;Magnitude;StartTime;StartAlt;StartAz;HiTime;HiAlt;HiAz;EndTime;EndAlt;EndAz;NORAD;TLE1;TLE2
STARLINK-5062;3,9;17:34:51;10;W;17:39:02;57;N;17:43:14;10;E;55637;1 55637U 23021K   26029.40150163  .00000252  00000-0  28888-4 0  9990;2 55637  69.9990 283.6282 0002899 270.7005  89.3821 14.98332360162908
SPOT 1/Viking Rocket;3,8;17:34:57;10;SE;17:39:51;47;NE;17:44:47;10;NNW;16615;1 16615U 86019C   26029.48116528  .00000469  00000-0  18500-3 0  9993;2 16615  98.2247  49.0598 0012782  77.5129  50.0938 14.33263614 90017
H-2A R/B;2,3;17:35:59;10;NNE;17:39:49;90;SW;17:43:41;10;SSW;28932;1 28932U 06002B   26029.40288596  .00013735  00000-0  70007-3 0  9999;2 28932  98.2341 173.0927 0053623  16.0530 344.2384 15.15631475 88480
CZ-4B R/B;4,4;17:36:19;10;ENE;17:40:22;22;NNE;17:44:24;10;NNW;27432;1 27432U 02024C   26029.38127082  .00000077  00000-0  62467-4 0  9999;2 27432  98.8924  82.9699 0050902 133.9871 237.1128 14.14539984223684
STARLINK-5467;3,7;17:36:33;10;WNW;17:40:49;71;NNE;17:45:03;10;ESE;55660;1 55660U 23021AJ  26028.93393133  .00000444  00000-0  44972-4 0  9994;2 55660  69.9983 264.5357 0002895 263.8589  96.2241 14.98330974163333
STARLINK-32257;3,7;17:36:47;10;WNW;17:41:02;71;NNE;17:45:17;10;ESE;62171;1 62171U 24225J   26028.93409612  .00005788  00000-0  49238-3 0  9991;2 62171  70.0007 264.5503 0002863 272.9246  87.1586 14.98340671 63927
STARLINK-34003;3,2;17:37:05;10;WSW;17:40:33;77;NNW;17:44:02;10;ENE;63882;1 63882U 25094U   26029.48127993  .00118470  00000-0  26643-2 0  9993;2 63882  70.0039 311.1218 0002383 290.3685  69.7241 15.42748723 41887
STARLINK-36224;2,4;17:37:17;10;WNW;17:40:42;52;N;17:44:07;10;E;67203;1 67203U 25304M   26029.41409322  .00112908  00000-0  25411-2 0  9992;2 67203  70.0015 275.7951 0002437 283.6216  76.4694 15.42749672  7946
STARLINK-5553;3,6;17:37:33;10;SSE;17:41:31;86;ENE;17:45:31;10;NNW;56333;1 56333U 23058S   26029.47564013  .00000241  00000-0  20894-4 0  9991;2 56333  97.6055  32.5220 0002095  89.1781 270.9686 15.05647502152290
YAOGAN 1;3,2;17:37:36;10;ESE;17:41:24;32;NE;17:45:14;10;NNW;29092;1 29092U 06015A   26028.99966723  .00001513  00000-0  17282-3 0  9996;2 29092  97.7584  53.1254 0001417  85.1315 275.0063 14.87493194 69110
