SatName;Magnitude;StartTime;StartAlt;StartAz;HiTime;HiAlt;HiAz;EndTime;EndAlt;EndAz;NORAD;TLE1;TLE2
Cosmos 1745 Rocket;4.3;04:37:14;62;NE;04:37:14;62;NE;04:42:23;10;NNE;16728;1 16728U 86037B   26027.85669362  .00000089  00000-0  74467-4 0  9999;2 16728  82.9572 163.5897 0031345  39.5641 114.6267 13.77065055993302
CZ-2D R/B;2.9;04:37:29;10;NNE;04:41:41;52;NE;04:41:41;52;NE;37932;1 37932U 11068C   26027.76891253  .00000304  00000-0  15450-3 0  9993;2 37932  98.8720 342.0666 0035791 304.6296  71.7037 14.22973143736515
ARGOS;4.4;04:37:36;10;NNE;04:42:30;35;E;04:43:24;33;ESE;25634;1 25634U 99008A   26027.62317185  .00000165  00000-0  97330-4 0  9994;2 25634  98.4942 359.1416 0011299  87.7910 272.4561 14.19957371394359
ALOS;3.8;04:51:13;10;NNE;04:53:40;31;NNE;04:53:40;31;NNE;28931;1 28931U 06002A   26027.85909314  .00002586  00000-0  44275-3 0  9993;2 28931  98.1150 344.0423 0002158  77.7304 282.4144 14.69664864 67487
MOS 1-B Rocket;4.2;04:51:37;10;NNE;04:57:25;59;ESE;04:57:27;59;ESE;20491;1 20491U 90013D   26027.80608980  .00000501  00000-0  99377-3 0  9999;2 20491  99.0471 350.3046 0468437 126.8129 237.6914 13.03731892710737
Lacrosse 4 Rocket;4.0;04:54:39;15;E;04:54:39;15;E;04:55:56;10;ENE;26474;1 26474U 00047B   26027.74413765  .00006287  00000-0  39639-3 0  9994;2 26474  67.9889 155.6147 0036760  86.6091 273.9262 15.09202990386738
Cosmos 2219;3.7;04:54:49;56;NNE;04:54:49;56;NNE;04:59:48;10;ENE;22219;1 22219U 92076A   26027.63411769 -.00000208  00000-0 -84445-4 0  9995;2 22219  71.0607 103.8986 0020768 264.0753  95.8002 14.14080207712577
ADEOS II;2.6;04:55:38;10;NNE;04:59:48;55;NE;04:59:48;55;NE;27597;1 27597U 02056A   26027.78045031  .00000592  00000-0  25074-3 0  9995;2 27597  98.7700 345.9948 0002020 100.5485 259.5924 14.29250932204450
Envisat;3.8;04:57:27;10;NNE;05:00:59;46;NNE;05:00:59;46;NNE;27386;1 27386U 02009A   26027.85799276  .00000254  00000-0  96145-4 0  9997;2 27386  98.3662 342.4453 0001232  91.8071 285.2210 14.39020514253303
Cosmos 1339 Rocket;4.5;04:57:30;10;NNW;05:03:39;75;ENE;05:09:48;10;SSE;13066;1 13066U 82012B   26027.72552574  .00000010  00000-0 -56377-5 0  9998;2 13066  82.8953  25.5331 0044884  73.9663  98.8370 13.77376435208061
Cosmos 2278 Rocket;3.1;05:01:13;39;SE;05:01:27;39;ESE;05:06:41;10;NE;23088;1 23088U 94023B   26027.78421654 -.00000158  00000-0 -56856-4 0  9993;2 23088  71.0003 156.7923 0004242 322.8063  37.2765 14.15006410640308
FENGYUN 3A;4.5;05:04:01;10;NNE;05:07:49;43;N;05:07:49;43;N;32958;1 32958U 08026A   26027.78336662  .00000200  00000-0  11549-3 0  9996;2 32958  98.6748 331.3537 0008854 165.6580 194.4850 14.19532744915480
Cosmos 2297 Rocket;2.5;05:05:34;63;NNE;05:05:34;63;NNE;05:10:55;10;E;23405;1 23405U 94077B   26027.56981135 -.00000171  00000-0 -62682-4 0  9995;2 23405  70.9825  79.0000 0004781 249.1559 110.9052 14.15558539610414
